cod_depto,departamento,poblacion,n_municipios,tsc_auditorias,tsc_mun_auditados,tsc_mun_auditados_2021_2025,pliegos_total,pliegos_sin_resolver,mp_episodios_total,desalojos,defensores_expedientes,plantaciones,homicidios_2023_2025,A1_bruto,A2_bruto,B1_bruto,B2_bruto,B3_bruto,C1_bruto,C2_bruto,C3_bruto,VI1_bruto,VI2_bruto,CO1_bruto,CO2_bruto,CO3_bruto,A1_norm,A2_norm,B1_norm,B2_norm,B3_norm,C1_norm,C2_norm,C3_norm,VI1_norm,VI2_norm,CO1_norm,CO2_norm,CO3_norm,D1_opacidad,D2_violencia,D3_conflicto,indice_unificado,tramo,estabilidad_pct,publicar,opacidad_solo_exposicion,señalamiento_formal_C3,mp_episodios_abuso_cargo,mp_municipios_con_denuncia,D4_control_politico
01,Atlántida,436252.0,8.0,3,3,0.0,0,0,16,4,16,30,509,62.5,100.0,14.74,1.42,,2.52,62.5,100.0,38.9,-52.9,0.92,3.7,6.88,66.4,100.0,21.7,19.2,,42.6,96.9,100.0,59.3,6.4,43.3,36.6,38.4,59.5,32.8,39.6,42.6,alto,96.0,rango,,100.0,11,5,
02,Colón,309876.0,10.0,4,3,1.0,24,20,13,7,33,187,576,70.0,90.0,13.11,2.65,83.33,2.9,40.0,100.0,62.0,11.4,2.26,10.6,60.35,75.4,83.2,17.4,57.4,88.9,49.5,60.2,100.0,100.0,70.0,100.0,100.0,100.0,67.7,85.0,100.0,83.2,alto,100.0,rango,,100.0,9,4,
03,Comayagua,493466.0,21.0,17,11,3.0,69,13,6,3,7,0,617,47.6,85.71,40.47,1.66,18.84,0.2,4.8,0.0,41.7,-24.0,0.61,1.4,0.0,48.6,76.0,89.5,26.5,5.9,0.5,2.8,0.0,66.4,35.0,28.7,9.4,0.0,37.7,50.7,15.3,30.9,medio,84.0,rango,,0.0,1,1,
04,Copán,371057.0,23.0,11,11,7.0,85,62,8,0,3,0,494,52.2,69.57,19.88,3.28,72.94,1.35,13.0,100.0,44.4,-21.2,0.0,0.8,0.0,54.1,48.9,35.3,76.9,75.5,21.4,16.2,100.0,73.2,37.7,0.0,2.4,0.0,54.0,55.5,0.9,17.2,bajo,92.0,rango,,100.0,5,3,
05,Cortés,1562834.0,12.0,11,11,7.0,89,86,40,9,10,2,1252,8.3,41.67,26.12,5.25,96.63,1.22,58.3,100.0,26.7,-67.7,0.58,0.6,0.13,1.5,2.1,51.7,100.0,100.0,19.0,90.1,100.0,28.3,0.0,27.3,0.0,0.7,50.2,14.2,11.1,20.1,bajo,88.0,rango,,100.0,19,7,
06,Choluteca,437620.0,16.0,13,11,5.0,48,28,15,3,13,0,274,31.2,68.75,26.3,1.0,58.33,2.51,50.0,100.0,20.9,-7.1,0.69,3.0,0.0,28.9,47.6,52.2,6.1,56.7,42.4,76.6,100.0,13.6,51.7,32.5,28.3,0.0,47.7,32.6,24.3,33.6,medio,88.0,rango,,100.0,11,8,
07,El Paraíso,456642.0,19.0,14,14,8.0,83,65,10,0,,15,317,26.3,57.89,11.51,1.71,78.31,1.31,31.6,100.0,23.1,-8.1,0.0,,3.28,23.0,29.3,13.2,28.1,82.4,20.7,46.5,100.0,19.2,50.7,0.0,,18.4,39.7,34.9,6.1,20.8,bajo,88.0,rango,,100.0,6,6,
08,Francisco Morazán,1508906.0,28.0,18,17,8.0,57,21,39,1,63,2,1198,39.3,71.43,14.28,2.13,36.84,1.33,28.6,100.0,26.5,-57.9,0.07,4.2,0.13,38.6,52.0,20.5,41.1,29.1,21.0,41.7,100.0,27.8,1.5,3.3,42.5,0.7,42.3,14.6,18.4,22.6,bajo,84.0,rango,,100.0,20,8,
09,Gracias a Dios,96073.0,6.0,5,5,4.0,27,4,1,0,7,10,42,16.7,33.33,31.78,3.58,14.81,1.04,16.7,100.0,14.6,-31.1,0.0,7.3,10.41,11.5,0.0,66.6,86.2,0.7,15.8,22.2,100.0,0.0,27.9,0.0,79.0,58.2,33.3,14.0,43.2,27.3,medio,92.0,rango,,100.0,1,1,
10,Intibucá,232543.0,17.0,20,11,0.0,65,16,15,0,8,0,221,35.3,100.0,19.31,0.83,24.62,4.73,41.2,100.0,31.7,-2.6,0.0,3.4,0.0,33.8,100.0,33.8,0.9,13.4,82.7,62.2,100.0,41.0,56.1,0.0,33.0,0.0,52.4,48.6,13.2,32.5,medio,96.0,rango,,100.0,11,7,
11,Islas de la Bahía,54013.0,4.0,0,0,0.0,1,0,12,0,4,0,87,100.0,100.0,,,,11.11,75.0,100.0,53.7,70.6,0.0,7.4,0.0,100.0,100.0,,,,100.0,100.0,100.0,96.8,100.0,0.0,80.2,0.0,100.0,98.4,32.1,68.3,alto,84.0,rango,si,100.0,6,3,
12,La Paz,196522.0,19.0,30,15,0.0,101,13,9,2,17,0,120,21.1,100.0,60.48,0.68,12.87,3.05,26.3,0.0,20.4,-0.8,1.02,8.7,0.0,16.8,100.0,100.0,0.0,0.0,52.2,37.9,0.0,12.3,57.9,48.0,95.5,0.0,41.6,35.1,57.4,43.8,alto,100.0,rango,,0.0,6,5,
13,Lempira,342409.0,28.0,28,28,3.0,154,64,10,0,2,1,412,0.0,89.29,6.63,3.32,41.56,2.04,17.9,100.0,40.1,-9.5,0.0,0.6,0.29,0.0,82.0,0.4,77.9,35.1,33.9,24.2,100.0,62.3,49.3,0.0,0.0,1.6,43.0,55.8,0.3,13.9,bajo,92.0,rango,,100.0,7,5,
